Date,Time (GMT),Wind Speed (m/s),Wind Dir (deg),Wind Gust (m/s),Air Temp (°C),Baro (mb),Water Level(m)
2022/1/15,15:00,0.8,180,1.3,18.2,1015.3,0.204
2022/1/15,16:00,0.7,186,1.2,19.1,1015.8,0.112
2022/1/15,17:00,0.7,173,1.1,19.9,1016.1,-0.007
2022/1/15,18:00,1.5,198,2,20.5,1016.8,-0.038
2022/1/15,19:00,0.9,214,1.4,22.8,1017,-0.02
2022/1/15,20:00,2.6,31,3.2,23.4,1017.1,0.053
2022/1/15,21:00,2.4,40,3.3,23.8,1016.6,0.2
2022/1/15,22:00,4.4,7,4.9,23.7,1015.8,0.371
2022/1/15,23:00,5,12,5.8,24,1015,0.543
2022/1/16,0:00,4.4,18,5.3,24,1014.6,0.658
2022/1/16,1:00,4.6,12,5.7,24,1013.9,0.718
2022/1/16,2:00,3.7,33,4.9,24,1013.9,0.644
2022/1/16,3:00,3.2,13,4.4,23.8,1014.1,1.041
2022/1/16,4:00,3.3,14,3.8,23.7,1014.5,0.503
2022/1/16,5:00,3.1,19,3.8,23.7,1015.1,0.878
2022/1/16,6:00,2.7,14,3.3,23.6,1015.9,0.732
2022/1/16,7:00,1.1,78,1.9,23.2,1016.4,0.516
2022/1/16,8:00,1,277,1.7,22.6,1016.5,0.606
2022/1/16,9:00,1,148,1.6,21.7,1016.6,0.228
2022/1/16,10:00,0.6,165,0.7,21.7,1016.4,0.205
2022/1/16,11:00,0.6,181,0.9,20.7,1015.9,0.3
2022/1/16,12:00,0.7,310,1,21,1014.4,0.614
2022/1/16,13:00,0,181,0.6,20.6,1015.4,0.072
2022/1/16,14:00,0.6,171,1,20.2,1014.8,0.949
2022/1/16,15:00,1,136,1.4,19.4,1014.5,0.322
2022/1/16,16:00,1,148,1.4,19.3,1015.2,-0.047
2022/1/16,17:00,0.9,178,1.2,18.8,1015.7,-0.093
2022/1/16,18:00,0,156,0.1,20.3,1016.4,-0.08
2022/1/16,19:00,0.1,103,0.5,23.8,1016,-0.065
2022/1/16,20:00,1.3,22,1.8,23.2,1016.7,-0.042
2022/1/16,21:00,3.9,42,4.3,23.2,1016.6,0.103
2022/1/16,22:00,4.1,38,5.2,23.3,1015.8,0.323
2022/1/16,23:00,3.8,25,4.5,23.4,1014.5,0.681
2022/1/17,0:00,4.2,21,4.8,23.4,1014.1,0.582
2022/1/17,1:00,2.8,23,4.1,23.9,1013.8,0.838
2022/1/17,2:00,3.5,44,4.3,23.9,1013.5,0.893
2022/1/17,3:00,2.5,21,3,23.9,1013.6,0.756
2022/1/17,4:00,2.1,56,2.4,23.7,1013.9,0.807
2022/1/17,5:00,2.1,298,2.6,22.6,1014.4,0.595
2022/1/17,6:00,2.2,298,2.5,22.3,1014.6,0.661
2022/1/17,7:00,2.2,282,2.8,21.9,1014.9,0.116
2022/1/17,8:00,0.7,141,2,21.7,1015.4,0.249
2022/1/17,9:00,0.9,169,1.5,21.6,1015.4,0.435
2022/1/17,10:00,1,152,1.4,19.5,1015,0.617
2022/1/17,11:00,1,159,1.2,19.2,1014.5,0.655
2022/1/17,12:00,2.3,175,2.8,17.8,1014.2,0.081
2022/1/17,13:00,1.2,157,1.7,18.2,1014,0.447
2022/1/17,14:00,0.7,178,0.9,18.1,1014.1,0.59
2022/1/17,15:00,0.9,190,1.3,17.7,1014.1,0.441
